"","ID","District","Bias.Code","Bias","Victim.Type","Year"
"35",170548977,"2D","Anti-Black","Verbal Intimidation/Simple Assault","Individual(s)",2017
"36",170522789,"5D","Anti-Homosexual","Written Intimidation/Simple Assault","Individual(s)",2017
"37",190035257,"4D","Anti-Jewish","Vandalism","Society",2019
"38",190034844,"RCPD","Anti-Jewish","Vandalism","Society",2019
"39",17012395,"1D","Anti-Black","Vandalism","School/College",2017
"40",180054635,"6D","Anti-Jewish","Vandalism","School/College",2018
"41",170526440,"4D","Anti-Black","Assault (physical)","Individual(s)",2017
"42",16064683,"6D","Anti-Transgender","Assault (physical)","Individual(s)",2016
"43",16043077,"5D","Anti-Jewish","Written Intimidation/Simple Assault","Individual(s)",2016
"44",170529740,"6D","Anti-Multi-Racial","Vandalism","Business/Financial Institution",2017
"45",170528035,"6D","Anti-Multi-Racial","Vandalism","Government",2017
"46",190044912,"1D","Anti-Jewish","Written Intimidation/Simple Assault","Society",2019
